"Station Name","ROUYN-NORANDA A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","48.21"
"Longitude","-78.84"
"Elevation","301.10"
"Climate Identifier","7086719"
"WMO Identifier",""
"TC Identifier","YUY"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp","Temp Flag","Dew Point Temp","Dew Point Temp Flag","Rel Hum","Rel Hum Flag","Wind Dir","Wind Dir Flag","Wind Spd","Wind Spd Flag","Visibility","Visibility Flag","Stn Press","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","17.6","","17.5","","99","","8","","5","","24.1","","97.84","","","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","17.3","","17.1","","98","","","","0","","24.1","","97.83","","","","","","Cloudy"
"2018-07-01 02:00","2018","07","01","02:00","16.8","","16.6","","99","","8","","7","","24.1","","97.76","","","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","17.4","","17.1","","99","","","","0","","24.1","","97.81","","","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","18.6","","18.6","","100","","4","","26","","4.8","","97.78","","","","","","Thunderstorms,Rain Showers,Fog"
"2018-07-01 05:00","2018","07","01","05:00","18.9","","18.7","","99","","14","","7","","24.1","","97.72","","","","","","NA"
"2018-07-01 06:00","2018","07","01","06:00","19.5","","18.9","","96","","16","","18","","24.1","","97.62","","","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","21.2","","19.6","","90","","17","","12","","24.1","","97.66","","28","","","","Mostly Cloudy"
"2018-07-01 08:00","2018","07","01","08:00","23.1","","20.5","","85","","21","","14","","24.1","","97.74","","31","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","23.8","","21.1","","85","","22","","18","","24.1","","97.78","","32","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","24.4","","22.0","","86","","19","","13","","24.1","","97.76","","34","","","","Cloudy"
"2018-07-01 11:00","2018","07","01","11:00","26.1","","23.2","","83","","20","","13","","16.1","","97.73","","37","","","","NA"
"2018-07-01 12:00","2018","07","01","12:00","27.5","","23.6","","79","","20","","11","","16.1","","97.67","","38","","","","NA"
"2018-07-01 13:00","2018","07","01","13:00","29.5","","24.2","","72","","18","","14","","24.1","","97.59","","41","","","","Mostly Cloudy"
"2018-07-01 14:00","2018","07","01","14:00","30.7","","23.8","","66","","22","","18","","24.1","","97.48","","42","","","","NA"
"2018-07-01 15:00","2018","07","01","15:00","29.3","","23.5","","70","","22","","13","","24.1","","97.44","","40","","","","NA"
"2018-07-01 16:00","2018","07","01","16:00","22.0","","19.6","","86","","5","","15","","24.1","","97.47","","29","","","","Thunderstorms,Rain Showers"
"2018-07-01 17:00","2018","07","01","17:00","23.3","","21.8","","91","","7","","20","","24.1","","97.38","","32","","","","NA"
"2018-07-01 18:00","2018","07","01","18:00","22.5","","21.4","","94","","10","","7","","24.1","","97.38","","31","","","","NA"
"2018-07-01 19:00","2018","07","01","19:00","23.2","","21.1","","88","","10","","13","","24.1","","97.46","","32","","","","Mostly Cloudy"
"2018-07-01 20:00","2018","07","01","20:00","21.9","","21.0","","94","","11","","17","","24.1","","97.46","","30","","","","NA"
"2018-07-01 21:00","2018","07","01","21:00","21.6","","20.6","","94","","16","","15","","24.1","","97.45","","30","","","","NA"
"2018-07-01 22:00","2018","07","01","22:00","21.9","","19.9","","88","","17","","13","","24.1","","97.42","","29","","","","Mostly Cloudy"
"2018-07-01 23:00","2018","07","01","23:00","22.9","","19.6","","81","","17","","12","","24.1","","97.39","","30","","","","NA"
"2018-07-02 00:00","2018","07","02","00:00","22.4","","19.5","","83","","17","","16","","24.1","","97.30","","30","","","","NA"
"2018-07-02 01:00","2018","07","02","01:00","22.6","","19.7","","83","","18","","18","","24.1","","97.23","","30","","","","Mainly Clear"
"2018-07-02 02:00","2018","07","02","02:00","22.3","","20.0","","87","","18","","16","","24.1","","97.18","","30","","","","NA"
"2018-07-02 03:00","2018","07","02","03:00","22.6","","20.2","","86","","18","","17","","24.1","","97.13","","30","","","","NA"
"2018-07-02 04:00","2018","07","02","04:00","22.6","","20.1","","86","","19","","18","","24.1","","97.09","","30","","","","Mostly Cloudy"
"2018-07-02 05:00","2018","07","02","05:00","22.8","","19.9","","84","","19","","16","","24.1","","97.09","","30","","","","NA"
"2018-07-02 06:00","2018","07","02","06:00","23.3","","19.8","","80","","20","","16","","24.1","","97.10","","31","","","","NA"
"2018-07-02 07:00","2018","07","02","07:00","23.7","","19.9","","79","","19","","16","","24.1","","97.11","","31","","","","Mostly Cloudy"
"2018-07-02 08:00","2018","07","02","08:00","24.5","","20.3","","77","","21","","23","","24.1","","97.15","","32","","","","NA"
"2018-07-02 09:00","2018","07","02","09:00","26.3","","20.2","","69","","23","","32","","24.1","","97.21","","34","","","","NA"
"2018-07-02 10:00","2018","07","02","10:00","25.4","","18.6","","65","","26","","31","","24.1","","97.25","","32","","","","Mostly Cloudy"
"2018-07-02 11:00","2018","07","02","11:00","26.2","","17.8","","59","","27","","30","","24.1","","97.33","","32","","","","NA"
"2018-07-02 12:00","2018","07","02","12:00","25.9","","17.1","","58","","25","","27","","24.1","","97.42","","31","","","","NA"
"2018-07-02 13:00","2018","07","02","13:00","25.7","","16.5","","56","","26","","26","","24.1","","97.51","","31","","","","Mostly Cloudy"
"2018-07-02 14:00","2018","07","02","14:00","24.9","","16.9","","61","","29","","18","","24.1","","97.55","","30","","","","NA"
"2018-07-02 15:00","2018","07","02","15:00","25.1","","16.8","","59","","26","","23","","24.1","","97.57","","30","","","","NA"
"2018-07-02 16:00","2018","07","02","16:00","25.2","","16.6","","58","","28","","17","","24.1","","97.60","","30","","","","Mainly Clear"
"2018-07-02 17:00","2018","07","02","17:00","25.4","","15.7","","54","","26","","22","","24.1","","97.62","","30","","","","NA"
"2018-07-02 18:00","2018","07","02","18:00","25.1","","14.9","","53","","25","","19","","24.1","","97.64","","29","","","","NA"
"2018-07-02 19:00","2018","07","02","19:00","24.3","","15.8","","59","","25","","15","","24.1","","97.69","","29","","","","Mainly Clear"
"2018-07-02 20:00","2018","07","02","20:00","22.8","","15.3","","62","","22","","10","","24.1","","97.77","","27","","","","NA"
"2018-07-02 21:00","2018","07","02","21:00","19.5","","15.6","","78","","23","","9","","24.1","","97.87","","","","","","NA"
"2018-07-02 22:00","2018","07","02","22:00","19.3","","15.1","","76","","23","","11","","24.1","","97.96","","","","","","Clear"
"2018-07-02 23:00","2018","07","02","23:00","18.3","","14.3","","77","","26","","13","","24.1","","98.01","","","","","","NA"
"2018-07-03 00:00","2018","07","03","00:00","16.6","","14.0","","84","","25","","10","","24.1","","98.06","","","","","","NA"
"2018-07-03 01:00","2018","07","03","01:00","16.4","","13.5","","83","","24","","13","","24.1","","98.12","","","","","","Clear"
"2018-07-03 02:00","2018","07","03","02:00","16.3","","13.4","","83","","24","","14","","24.1","","98.16","","","","","","NA"
"2018-07-03 03:00","2018","07","03","03:00","15.6","","13.4","","87","","24","","12","","24.1","","98.19","","","","","","NA"
"2018-07-03 04:00","2018","07","03","04:00","15.5","","13.4","","88","","24","","13","","24.1","","98.24","","","","","","Clear"
"2018-07-03 05:00","2018","07","03","05:00","15.9","","13.8","","87","","23","","7","","24.1","","98.33","","","","","","NA"
"2018-07-03 06:00","2018","07","03","06:00","18.0","","14.8","","82","","24","","10","","24.1","","98.39","","","","","","NA"
"2018-07-03 07:00","2018","07","03","07:00","20.1","","15.4","","74","","24","","9","","24.1","","98.47","","","","","","Clear"
"2018-07-03 08:00","2018","07","03","08:00","21.9","","16.4","","71","","26","","10","","24.1","","98.51","","27","","","","NA"
"2018-07-03 09:00","2018","07","03","09:00","23.7","","16.1","","62","","23","","13","","24.1","","98.55","","28","","","","NA"
"2018-07-03 10:00","2018","07","03","10:00","25.0","","15.6","","55","","24","","12","","24.1","","98.59","","29","","","","Clear"
"2018-07-03 11:00","2018","07","03","11:00","26.9","","14.5","","46","","23","","18","","24.1","","98.59","","31","","","","NA"
"2018-07-03 12:00","2018","07","03","12:00","27.6","","13.6","","41","","26","","12","","24.1","","98.62","","31","","","","NA"
"2018-07-03 13:00","2018","07","03","13:00","29.2","","15.5","","43","","23","","21","","24.1","","98.64","","33","","","","Mainly Clear"
"2018-07-03 14:00","2018","07","03","14:00","29.1","","16.3","","45","","24","","19","","24.1","","98.63","","34","","","","NA"
"2018-07-03 15:00","2018","07","03","15:00","29.6","","15.0","","40","","27","","18","","24.1","","98.64","","34","","","","NA"
"2018-07-03 16:00","2018","07","03","16:00","30.2","","14.5","","38","","28","","8","","24.1","","98.63","","34","","","","Mainly Clear"
"2018-07-03 17:00","2018","07","03","17:00","28.9","","17.1","","48","","23","","9","","24.1","","98.61","","34","","","","NA"
"2018-07-03 18:00","2018","07","03","18:00","27.7","","17.3","","53","","27","","7","","24.1","","98.59","","33","","","","NA"
